-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
-0,-0,1.01,-0,-0
6.64,6.64,9.52,-0.00,10.51
7.12,7.12,11.64,0.31,11.17
13.13,13.13,19.47,4.61,18.80
27.85,27.85,35.76,16.00,35.17
36.47,36.47,47.16,18.66,48.95
39.99,39.99,43.28,24.89,45.13
44.30,44.30,41.31,23.27,44.26
45.77,45.77,32.17,23.46,36.96
59.13,59.13,37.11,29.78,40.33
64.73,64.73,36.34,22.68,33.61
66.97,66.97,35.25,25.03,34.31
68.30,68.30,37.89,29.84,37.44
68.39,68.39,39.61,30.17,45.36
69.46,69.46,48.17,37.24,52.29
68.75,68.75,54.99,39.01,48.78
68.43,68.43,59.86,32.31,54.51
68.02,68.02,63.40,36.64,49.54
60.65,60.65,55.61,38.83,54.36
49.77,49.77,44.86,26.60,45.95
47.42,47.42,39.81,28.41,41.35
49.30,49.30,39.30,36.33,46.00
50.05,50.05,37.51,36.03,44.70
45.88,45.88,33.11,29.99,40.15
45.67,45.67,29.83,22.68,38.19
57.69,57.69,37.09,30.36,45.83
62.63,62.63,37.54,25.23,42.17
64.05,64.05,34.69,22.74,40.18
65.64,65.64,36.19,21.58,42.49
66.98,66.98,40.93,25.27,44.51
69.94,69.94,45.85,28.98,45.71
69.30,69.30,53.38,32.11,46.54
69.84,69.84,57.04,31.28,48.31
68.23,68.23,61.62,35.35,50.62
61.17,61.17,58.12,36.51,46.87
53.61,53.61,46.95,37.05,46.19
49.04,49.04,38.97,40.62,43.97
49.25,49.25,36.42,31.13,41.85
49.77,49.77,35.51,22.18,39.86
46.76,46.76,32.90,32.07,40.29
46.33,46.33,34.82,31.60,38.15
49.35,49.35,32.83,26.72,37.17
59.82,59.82,38.75,28.90,44.34
63.49,63.49,33.76,22.24,40.99
64.92,64.92,33.86,17.22,38.80
66.16,66.16,35.38,20.32,41.24
66.55,66.55,39.04,22.47,42.09
66.82,66.82,47.73,22.37,42.38
65.57,65.57,55.38,31.22,44.12
67.77,67.77,60.52,30.53,43.17
64.42,64.42,62.88,29.80,44.02
57.22,57.22,53.62,32.26,44.26
41.33,41.33,39.73,20.92,37.22
37.68,37.68,31.45,21.22,33.86
37.75,37.75,31.93,25.82,35.61
39.71,39.71,30.23,21.91,34.91
43.18,43.18,29.02,15.90,36.97
44.22,44.22,30.71,13.83,36.42
57.93,57.93,38.95,22.59,40.57
61.53,61.53,39.06,21.77,41.13
62.44,62.44,37.96,19.19,41.40
63.94,63.94,39.40,19.70,40.98
66.87,66.87,46.15,20.80,39.14
68.36,68.36,54.38,28.01,39.10
68.48,68.48,59.42,29.42,41.89
66.12,66.12,62.92,25.02,44.43
59.40,59.40,59.30,33.30,41.29
44.29,44.29,43.35,25.43,37.47
41.14,41.14,34.76,18.65,33.43
39.77,39.77,33.22,25.35,34.80
39.84,39.84,36.62,28.73,35.68
38.89,38.89,32.66,25.02,34.04
39.46,39.46,27.83,16.75,34.42
39.95,39.95,27.64,15.03,31.70
46.72,46.72,33.81,22.70,34.49
58.22,58.22,31.83,22.24,37.65
61.06,61.06,34.29,18.80,38.72
63.47,63.47,36.10,18.80,38.09
65.46,65.46,41.28,22.73,36.87
65.87,65.87,51.08,26.71,37.89
66.01,66.01,57.84,28.76,35.01
63.99,63.99,62.56,35.32,40.19
59.79,59.79,61.40,37.29,43.29
46.82,46.82,46.91,27.62,36.36
37.33,37.33,35.73,16.72,31.99
36.66,36.66,30.59,21.73,34.14
37.46,37.46,34.52,27.62,33.49
38.02,38.02,34.35,26.54,33.65
39.89,39.89,31.51,23.09,33.19
40.09,40.09,26.33,15.09,35.18
46.97,46.97,28.35,16.28,38.55
54.72,54.72,31.98,16.60,40.58
59.90,59.90,32.84,20.42,37.08
62.95,62.95,37.10,17.73,36.75
63.48,63.48,43.50,16.82,37.93
63.19,63.19,55.23,22.24,41.25
64.73,64.73,61.60,30.98,41.07
62.58,62.58,66.06,30.78,38.70
59.49,59.49,62.53,32.65,37.74
48.25,48.25,47.50,25.41,32.90
37.70,37.70,35.71,15.75,30.93
36.76,36.76,30.67,19.39,34.26
40.85,40.85,27.39,19.82,33.41
39.50,39.50,26.03,18.38,35.71
41.29,41.29,24.63,16.01,38.03
38.63,38.63,24.32,12.96,34.49
41.88,41.88,23.26,12.15,34.89
53.17,53.17,30.71,14.41,38.83
58.09,58.09,30.26,13.40,37.26
61.49,61.49,31.78,14.47,36.98
63.41,63.41,37.00,15.99,35.95
65.03,65.03,45.21,19.18,36.57
67.50,67.50,53.78,22.02,36.32
67.89,67.89,58.54,28.92,40.65
64.68,64.68,61.97,26.70,39.71
60.65,60.65,60.34,33.41,41.08
50.64,50.64,48.46,27.28,35.01
41.83,41.83,39.74,27.33,37.07
39.93,39.93,36.82,26.67,35.23
38.26,38.26,26.85,12.58,32.24
40.69,40.69,31.07,23.38,34.62
39.43,39.43,32.92,27.43,34.15
41.01,41.01,31.70,25.28,35.63
39.83,39.83,26.24,13.50,35.38
45.81,45.81,33.38,20.48,40.51
53.90,53.90,31.73,19.04,42.46
60.81,60.81,34.37,18.16,42.91
64.95,64.95,35.06,19.19,39.41
64.78,64.78,35.84,20.11,38.62
63.34,63.34,43.41,19.52,38.57
62.70,62.70,50.02,17.15,35.33
62.89,62.89,55.14,23.42,35.21
61.08,61.08,59.34,25.70,34.15
60.08,60.08,61.52,33.29,36.47
49.79,49.79,50.74,27.05,34.65
36.80,36.80,39.11,20.22,31.57
38.30,38.30,32.52,12.89,31.77
39.77,39.77,28.68,11.00,32.41
36.90,36.90,23.90,11.33,30.65
34.99,34.99,22.92,6.21,32.28
37.64,37.64,22.10,9.01,32.80
39.27,39.27,22.92,7.18,32.45
37.43,37.43,25.66,10.55,33.73
45.24,45.24,28.46,17.12,40.75
51.62,51.62,30.46,16.12,42.54
57.98,57.98,30.18,16.32,41.73
63.17,63.17,34.81,17.25,42.79
64.60,64.60,40.70,15.05,39.09
64.78,64.78,47.37,16.80,35.48
62.72,62.72,53.27,20.41,35.25
60.92,60.92,58.24,26.12,37.89
56.30,56.30,55.15,32.85,39.84
43.34,43.34,40.70,20.19,38.04
37.16,37.16,36.94,25.95,32.35
36.46,36.46,28.40,19.55,32.66
35.28,35.28,23.00,8.14,32.04
33.85,33.85,25.44,17.18,30.54
36.60,36.60,23.22,14.72,31.10
36.14,36.14,22.63,9.59,30.76
39.01,39.01,26.67,13.20,33.45
47.73,47.73,30.01,18.99,39.06
55.74,55.74,34.12,20.11,42.15
59.76,59.76,35.66,17.59,40.91
64.11,64.11,35.79,17.03,42.09
65.11,65.11,42.50,18.91,41.19
63.06,63.06,47.50,21.60,38.93
63.21,63.21,52.83,24.30,38.96
58.39,58.39,57.24,30.09,39.22
53.94,53.94,51.61,32.82,39.97
41.84,41.84,37.44,22.29,36.42
36.70,36.70,32.21,21.93,33.35
36.48,36.48,27.00,12.55,31.72
34.30,34.30,25.56,20.20,30.99
35.91,35.91,28.58,26.25,31.49
35.38,35.38,27.42,25.22,32.17
34.94,34.94,24.96,19.91,31.19
36.55,36.55,26.24,14.07,31.23
38.12,38.12,28.56,20.96,33.63
44.56,44.56,34.10,24.67,40.52
52.14,52.14,35.78,24.26,49.38
57.58,57.58,34.90,24.13,49.08
62.75,62.75,35.63,27.12,48.08
64.28,64.28,34.91,18.91,46.85
65.19,65.19,38.56,21.45,42.74
63.52,63.52,43.78,18.40,39.95
61.00,61.00,52.95,22.53,37.74
58.62,58.62,58.09,26.68,39.67
54.37,54.37,53.75,30.92,40.43
40.92,40.92,41.05,16.51,32.88
38.42,38.42,34.08,18.38,32.91
37.18,37.18,26.94,10.01,31.33
36.89,36.89,25.15,20.44,32.15
36.73,36.73,25.31,21.78,30.93
36.54,36.54,23.82,18.07,33.52
38.80,38.80,22.80,11.50,31.81
39.24,39.24,21.87,8.15,33.54
37.56,37.56,21.38,8.12,33.98
43.67,43.67,28.26,16.31,39.93
51.66,51.66,27.51,14.70,46.40
56.18,56.18,28.87,12.37,46.18
60.43,60.43,32.62,17.23,47.48
63.59,63.59,36.15,16.82,46.96
63.95,63.95,40.53,13.79,45.06
62.79,62.79,47.91,14.87,40.90
59.93,59.93,53.11,20.96,35.44
59.60,59.60,57.55,26.12,36.18
58.68,58.68,55.08,32.03,39.55
47.47,47.47,42.63,24.53,35.61
37.47,37.47,35.90,22.29,33.37
37.10,37.10,30.00,18.59,32.63
39.50,39.50,25.02,12.26,35.80
41.48,41.48,25.79,19.15,35.66
38.87,38.87,24.88,18.69,35.43
37.31,37.31,23.17,13.32,34.63
37.74,37.74,19.54,7.44,33.73
36.82,36.82,20.60,6.52,33.83
41.47,41.47,27.22,17.79,36.74
48.89,48.89,28.31,20.31,45.62
52.60,52.60,29.32,19.28,44.21
55.44,55.44,29.18,19.64,43.60
59.44,59.44,31.55,19.95,46.24
61.64,61.64,34.34,22.09,46.88
63.54,63.54,35.82,21.02,46.50
64.70,64.70,44.18,19.84,44.86
63.16,63.16,48.86,22.30,39.74
61.31,61.31,54.94,22.72,38.33
59.72,59.72,57.10,30.33,41.86
47.57,47.57,45.56,24.60,38.33
39.68,39.68,35.66,18.20,33.31
37.93,37.93,29.25,18.27,33.52
40.12,40.12,23.71,10.17,36.21
40.62,40.62,22.77,18.36,37.03
40.85,40.85,23.41,20.76,36.79
40.20,40.20,24.66,18.78,36.69
38.75,38.75,22.51,12.24,36.15
38.69,38.69,21.18,5.56,32.97
36.16,36.16,22.90,7.13,30.13
37.90,37.90,26.65,15.18,32.07
48.67,48.67,33.21,21.48,41.14
58.43,58.43,35.35,20.89,43.28
62.04,62.04,35.40,22.91,43.39
62.58,62.58,33.67,23.17,43.02
62.24,62.24,33.35,23.87,41.22
63.60,63.60,34.15,23.00,42.43
64.44,64.44,34.19,23.54,43.24
63.64,63.64,34.14,22.16,42.30
63.80,63.80,36.69,19.53,42.03
64.21,64.21,42.27,21.86,41.37
62.26,62.26,47.68,24.34,42.41
60.86,60.86,50.38,30.20,43.07
49.89,49.89,42.76,25.70,41.34
41.95,41.95,30.96,11.36,35.45
38.30,38.30,25.52,10.17,33.12
38.75,38.75,23.33,13.82,32.48
39.67,39.67,24.44,18.65,33.61
38.20,38.20,24.50,18.06,31.70
40.03,40.03,25.75,13.83,32.09
39.25,39.25,27.40,8.36,33.76
36.64,36.64,24.85,5.85,33.84
37.86,37.86,25.52,7.99,33.65
38.09,38.09,25.37,11.40,35.21
50.37,50.37,32.54,20.01,41.36
56.01,56.01,29.14,19.15,41.24
59.44,59.44,32.10,22.15,45.03
61.31,61.31,33.67,23.54,45.71
63.54,63.54,33.30,20.83,43.87
63.71,63.71,33.71,19.38,43.60
63.81,63.81,37.13,21.71,42.82
63.35,63.35,41.96,24.01,41.21
61.24,61.24,46.24,23.33,43.95
59.14,59.14,50.68,30.44,47.21
50.42,50.42,41.10,24.38,39.44
38.87,38.87,31.06,12.19,33.09
38.89,38.89,28.32,9.31,30.99
39.83,39.83,24.97,7.11,33.69
38.80,38.80,25.92,10.68,30.49
38.85,38.85,29.93,11.22,35.44
36.14,36.14,28.85,7.11,34.08
35.34,35.34,31.06,8.64,33.55
33.00,33.00,31.51,6.99,32.47
34.33,34.33,29.85,4.57,31.80
32.69,32.69,30.86,8.69,31.80
32.09,32.09,25.52,8.11,30.96
38.46,38.46,29.81,14.12,34.51
50.69,50.69,33.09,22.20,41.90
55.83,55.83,33.08,22.44,43.93
57.06,57.06,32.02,21.00,40.73
58.63,58.63,35.99,26.13,40.56
61.13,61.13,32.63,17.48,44.79
62.57,62.57,34.33,18.54,43.59
63.65,63.65,34.94,19.31,43.16
62.70,62.70,36.59,15.70,43.14
62.35,62.35,40.38,20.52,43.91
63.20,63.20,45.84,26.99,45.93
57.53,57.53,46.15,30.69,43.65
39.30,39.30,31.47,12.76,34.56
37.93,37.93,27.36,12.17,34.84
39.16,39.16,28.69,8.55,34.16
39.24,39.24,28.89,8.11,35.86
35.56,35.56,28.66,10.63,32.58
32.95,32.95,28.75,12.56,31.02
32.59,32.59,27.60,13.74,33.13
31.77,31.77,27.56,9.41,31.07
29.98,29.98,28.88,6.79,31.21
31.37,31.37,29.22,8.01,33.16
43.37,43.37,32.13,19.93,43.70
45.66,45.66,33.13,19.59,43.41
50.06,50.06,33.46,19.00,44.48
56.10,56.10,33.39,17.82,47.30
59.74,59.74,33.02,16.36,47.55
61.26,61.26,35.68,12.47,47.79
62.86,62.86,35.62,13.65,47.06
63.36,63.36,36.84,13.65,48.79
62.66,62.66,37.63,12.82,49.89
62.83,62.83,36.89,16.36,49.08
61.99,61.99,36.95,14.09,49.19
61.62,61.62,36.85,10.88,47.31
61.97,61.97,36.95,11.44,49.51
63.30,63.30,38.36,14.82,48.80
63.37,63.37,38.01,13.21,47.56
63.32,63.32,38.10,19.83,46.71
61.52,61.52,37.54,21.52,49.36
60.84,60.84,37.37,16.10,48.42
60.60,60.60,40.03,18.35,50.49
60.34,60.34,39.58,22.16,52.66
60.18,60.18,39.76,20.14,55.31
59.23,59.23,38.94,20.12,53.94
59.34,59.34,38.63,21.11,55.50
58.39,58.39,40.43,27.64,55.69
57.58,57.58,39.77,25.05,57.11
62.38,62.38,39.16,33.54,60.46
65.11,65.11,36.59,19.50,60.86
64.40,64.40,39.27,25.36,61.47
65.48,65.48,39.31,19.89,61.44
65.94,65.94,40.57,19.70,61.56
65.79,65.79,39.71,16.76,60.31
63.76,63.76,38.69,21.90,59.96
62.49,62.49,37.85,21.53,60.20
60.25,60.25,38.59,23.49,60.08
61.41,61.41,38.19,22.41,60.45
61.48,61.48,38.78,21.54,61.31
60.21,60.21,38.60,23.53,60.81
-0,-0,1.01,1.01,1.01
-0,-0,1.01,1.01,1.01
-0,-0,1.01,1.01,1.01
-0,-0,1.01,1.01,1.01
-0,-0,1.01,1.01,1.75
-0,-0,1.01,1.01,6.95
-0,-0,1.01,1.01,14.66
-0,-0,1.01,1.01,23.44
-0,-0,1.01,1.01,50.76
-0,-0,1.01,1.01,65.31
-0,-0,1.01,1.01,61.15
-0,-0,1.01,1.01,58.59
-0,-0,1.01,1.01,53.99
-0,-0,1.01,1.01,37.49
-0,-0,1.01,1.01,16.47
-0,-0,1.01,1.01,5.05
-0,-0,1.01,1.01,1.18
-0,-0,1.01,1.01,1.12
-0,-0,1.01,1.01,4.24
-0,-0,1.01,1.01,13.42
-0,-0,1.01,1.01,30.35
-0,-0,1.01,1.01,48.23
-0,1.96,5.02,1.01,65.38
-0,11.08,10.72,1.01,61.24
-0,22.26,29.11,1.01,58.96
-0,33.78,34.74,1.01,48.03
-0,59.23,71.27,1.01,24.51
